GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice11,com.example.dto,ChangeStatusRequest,0,6,0,0,0,1,0,1,0,1
exercice11,com.example.dto,CreateTicketRequest,0,9,0,0,0,1,0,1,0,1
exercice11,com.example.dto,TicketResponse,0,27,0,0,0,2,0,2,0,2
exercice11,com.example.model,TicketStatus,4,41,2,7,0,8,2,5,0,2
exercice11,com.example.model,Priority,0,21,0,0,0,4,0,1,0,1
exercice11,com.example.model,Ticket,11,35,0,0,6,14,3,7,3,7
exercice11,com.example.exception,TicketNotFoundException,0,5,0,0,0,2,0,1,0,1
exercice11,com.example.exception,InvalidStatusTransitionException,0,8,0,0,0,2,0,1,0,1
exercice11,com.example.exception,GlobalExceptionHandler,0,34,0,0,0,7,0,5,0,5
exercice11,com.example,Exercice11Application,5,3,0,0,2,1,1,1,1,1
exercice11,com.example.controller,TicketController,8,31,0,0,1,7,1,4,1,4
exercice11,com.example.service,TicketService,4,57,0,2,1,12,1,6,1,5
exercice11,com.example.repository,InMemoryTicketRepository,7,39,0,2,1,8,1,4,1,3
